trend_id,trend,explanation
0,Долгая доставка,"- долго везёте
- очень долго везёте
- сюда относим замечания без конкретики
"
1,Доставка стала долгой,"- клиент делает акцент на то, что раньше мы доставляли быстрее"
2,Время доставки не соответствует заявленому,"- клиент акцентирует внимание, что SLA не соотвесвует реальному времени доставки (всегда или часто)
- в комментарии указывать, если клиент акцентирует внимание, что мы НИКОГДА не выдерживаем заявленное время доставки"
3,Регулярные опоздания,"- клиент акцентриет внимание, что мы часто/каждый заказ привозим заказ с опозданием"
4,Не отследить реальное время доставки,"- клиент говорит о том, что невозможно понять, когда приедет заказ
- нет реального времени доставки
- клиент задает вопрос ""где заказ""/""долго ли ждать"""
5,Курьер на карте,"- если клиент упоминает отображение курьера на карте (даже если мы предполагаем, что он просто хочет понимать, когда будет заказ)"
6,Нет доставки по адресу,"клиент жалутеся, что нет доставки по адресу"
7,Не предупреждаем об удалении товара,"- не предупреждаем об удалении товара
- не предлагаем замену товара"
8,Высокая минимальная сумма заказа,клиент жалуется на размер минимальной суммы заказа
9,Сумма заказа меняется во время набора корзины,"- сумма заказа меняется во время набора корзины 
- приходится несколько раз докладывать товары до мин суммы"
10,Минимальная сумма заказа,"- клиент жалуется на наличие минимальной суммы в принципе
Например, говорит, что не может заказать 1 товар.
- минимальная сумма заказа постоянно меняется"
11,Товары с подходящим сроком годности,"- клиент жалуется, что мы привозим товары с практически истекшим сроком годнос
- в комментарии прописывать, если клиент упоминает, что это был товар по акции"
12,Высокие цены,"- клиент жалуется на высокие цены
в коментариях помечать если:
- клиент упомианет конркетную категорию товаров (например, фрукты и овощи)
- сравнивают нас с магазинами, говорят о наценке в сравнении с другими"
13,Не довезли товар,"- клиент говорит о том, что недовезли товар, без упоминания по какой причине
- если товар удалили из заказа — то это тенденция ""не предупреждаем об удалении товара"""
14,Товар испорчен во время доставки,"клиент жалуется, что:
- побили яйца
- разлился йогрут и т.д.
любые повереждения товара во время доставки"
15,Просроченные товары,привезли товар с истекшим сроком годности
16,Замечания по работе курьеров,"- хамят
- не читают комментарии
- не понимают русский язык
- не доносят заказ до двери
и т.д."
17,Не читаем комментарии,"- клиент жалуется на то, что мы не выполнили комментарий (без кпоминания курьера)
- если говорят, о том, что курьер не прочитал комментарий — относим к категории ""заменчания по работе курьера"""
18,Спасибо,"клиент благодарит сервис, в любом формате
- молодцы так деражть
- все круто
- 👍🏻"
19,Нет смысла,"- обращения смысл, которых не ясен или его нет"
20,Всё нормально,"клиент нейтрально оценивать сервис
- все норм
- нормально
- устраивает"
21,Всё плохо,негативные комментарии без конкретики
22,Скидки для постоянных клиентов,"клиенты говорят о том, что у нас нет:
- скидко для постоянных клиентов
- скидок на следующий заказ
- программы лояльности"
23,Больше акций/скидок,"клиент говорит, что нужно больше акций/скидок/промокодов
в комментарии помечать есть:
- говорят о том, что не хватает скидко на всю корзину
- редко запускаем акцию ""товар за 1 рубль"""
24,Скидка/промокод распространяется не на все товары,"- по сути это жалоба на не суммирование
- клиент жалуется, что на товары со скидкой с витрине, не применяется корзинная скидка
- что корзинная скидка применяется только к каой-то категории товаров"
25,Непонятно как работает скидка,"- не поянтно какая скикдка применилась в корзине
- не понятно почему скидка применилась не ко всем товарам
- не понятно к каким товарам применилась скидка"
26,Не сработала скидка/акция/промокод,"- клиент жалуется на то, что не работает скидка
- в комментарии помечать, если есть какая-то конркетика"
27,Качество товаров,"клиент жалуктся на качестова товаро
в комменатрии помечать какой именно параметр:
- свежесть/вялость
- спелось
- категорию товара"
28,Маленький ассортимент,"- жалобы на маленький ассортимент
- комментарии указывать на какую категорию товаров"
29,Нет в наличии товара,"- жалобы на то, что в наличии нет товаров, которые есть у нас в ассортименте
- товары быстро заканчиваются
- нет завоза на цфз
в комментариях помечать какие-то особенности.
Например:
- ничего нет вечером
- хотят уведомление о поступлении
- не понимают поступит ли товар снова на ЦФЗ
- Клиент переходит по банеру о скидке, а товар раскупили"
30,Качество поддержки,"любые замечания по работе поддрежки:
- медленно отвечаем
- бот не переключает на оператора
- закрываем обращения не разобравшись и т.д."
31,Замечания по работе сборщика,"- кладём несовместимые продукты в один пакет (химию в продуктами, корм для животных с продуктами и т.п.)
- не используем термопакеты для замороженных продуктов
- кладём не то (путаем товары)"
32,Отменили заказ,"- клиент жалуетя на то, что его заказ отменили
в комментариях помечать, что до этого клиент ждал/долго ждал
- заказ отменили, до передачи курьеру"
33,Знание русского языка,- курьеры не понимают/не читают/не говорят по-русски
34,Привезли чужой заказ,- перепутали заказ
35,Долго на сборке,"- долго собираем заказ
- прошло уже 30 минут, а заказ ещё не передали курьеру
- почти час ждём, а курьер ещё не вышел"
36,Сравнивают с конкурентами,"- сравнение с другими сервисами доставки продуктов
в комментраии указывать с какими"
37,Скидки за опоздание,"- просят скидки/компенсацию
- отмечать в коментариях, если просят назначать их атвоматически "
38,Курьеры отменяют заказ,"- клиенты жалуются, что курьер отменил заказ"
39,Не тянет на тенденцию,"Ставим там, где не подходит ни под одну тенденцию."
40,Испорченные товары,"- привозим продукты в сроке годности, но они испорчены
в комментарии указываем категорию (овощи, фрукты, мясо, молочка, готовая еда и тп.п)"
41,Не нравится интерфейс приложения,- просто не нравится приложение
42,Приложение зависает,"- приложение работает не стабильно, зависает"
43,Быстрая доставка,- быстро доставляем
44,Условия работы курьеров,"- повысить ставку курьерам
- одеть потеплее и т.п."
45,СберСпасибо,"- сложности при подключении
- периодически не оплатить бонусами
- любые комменты по СберСпасибо"
46,Время работы,"- рано закрываемся
- круглосуточная доставка
- сделайте доставку с Х часов"
47,Неудобный поиск,"- неудобный поиск
- не нравится навигация по каталогу
- не нравится структура каталога (сторисы в каталоге, акции среди товаров и т.п.)"
48,Платежи,"- жалобы на проведение платежей
- оплата курьеру наличными или картой
- проблемы с оплатой
- СБП
- отображение карты
- любые комменты по картам
- не проходят платежи
- чеки, квитанции"
49,Возврат денег,"- жалуются на долгие возвраты
- жалуются, что не вернули деньги"
